metric,min,max,mean,std,n
area_ratio,0.008610,0.064294,0.028911,0.010645,400
color_mean_overall,0.000021,0.989524,0.459517,0.309710,400
solidity,0.800763,0.988015,0.955805,0.036238,400
circularity,0.355241,0.914075,0.754262,0.118184,400
extent,0.427546,0.774014,0.681466,0.068209,400
aspect_ratio,1.000000,3.263158,1.314994,0.357851,400
eccentricity,0.111090,0.958889,0.669690,0.193213,400
num_convexity_defects,8.000000,29.000000,17.385000,3.995845,400
max_defect_depth_norm,0.001998,0.069312,0.007963,0.008856,400
dist_from_center_norm,0.011508,0.484285,0.268952,0.099504,400
grad_mean,0.067086,0.913521,0.463626,0.176025,400
