category,metric,rank,type,image_idx,value
dimensione_gt,area_ratio,1,migliore (top),268,0.064294
dimensione_gt,area_ratio,2,migliore (top),166,0.056920
dimensione_gt,area_ratio,3,migliore (top),350,0.053372
dimensione_gt,area_ratio,4,migliore (top),342,0.053073
dimensione_gt,area_ratio,5,migliore (top),149,0.052974
dimensione_gt,area_ratio,1,peggiore (bottom),65,0.008610
dimensione_gt,area_ratio,2,peggiore (bottom),334,0.008968
dimensione_gt,area_ratio,3,peggiore (bottom),247,0.009088
dimensione_gt,area_ratio,4,peggiore (bottom),230,0.009786
dimensione_gt,area_ratio,5,peggiore (bottom),85,0.011001
colore_medio_tumore,color_mean_overall,1,migliore (top),151,0.989524
colore_medio_tumore,color_mean_overall,2,migliore (top),203,0.987127
colore_medio_tumore,color_mean_overall,3,migliore (top),69,0.968055
colore_medio_tumore,color_mean_overall,4,migliore (top),228,0.964486
colore_medio_tumore,color_mean_overall,5,migliore (top),149,0.948637
colore_medio_tumore,color_mean_overall,1,peggiore (bottom),92,0.000021
colore_medio_tumore,color_mean_overall,2,peggiore (bottom),266,0.000701
colore_medio_tumore,color_mean_overall,3,peggiore (bottom),284,0.001746
colore_medio_tumore,color_mean_overall,4,peggiore (bottom),74,0.001785
colore_medio_tumore,color_mean_overall,5,peggiore (bottom),381,0.002286
concavita_e_geometria,solidity,1,migliore (top),273,0.988015
concavita_e_geometria,solidity,2,migliore (top),268,0.987291
concavita_e_geometria,solidity,3,migliore (top),96,0.986741
concavita_e_geometria,solidity,4,migliore (top),244,0.986698
concavita_e_geometria,solidity,5,migliore (top),380,0.986635
concavita_e_geometria,solidity,1,peggiore (bottom),115,0.800763
concavita_e_geometria,solidity,2,peggiore (bottom),338,0.804085
concavita_e_geometria,solidity,3,peggiore (bottom),366,0.810254
concavita_e_geometria,solidity,4,peggiore (bottom),372,0.810372
concavita_e_geometria,solidity,5,peggiore (bottom),265,0.813327
concavita_e_geometria,circularity,1,migliore (top),237,0.914075
concavita_e_geometria,circularity,2,migliore (top),92,0.903803
concavita_e_geometria,circularity,3,migliore (top),380,0.903592
concavita_e_geometria,circularity,4,migliore (top),96,0.899125
concavita_e_geometria,circularity,5,migliore (top),36,0.899048
concavita_e_geometria,circularity,1,peggiore (bottom),366,0.355241
concavita_e_geometria,circularity,2,peggiore (bottom),372,0.383676
concavita_e_geometria,circularity,3,peggiore (bottom),376,0.409600
concavita_e_geometria,circularity,4,peggiore (bottom),44,0.416594
concavita_e_geometria,circularity,5,peggiore (bottom),72,0.419855
concavita_e_geometria,extent,1,migliore (top),139,0.774014
concavita_e_geometria,extent,2,migliore (top),50,0.770600
concavita_e_geometria,extent,3,migliore (top),273,0.770041
concavita_e_geometria,extent,4,migliore (top),308,0.764839
concavita_e_geometria,extent,5,migliore (top),92,0.764128
concavita_e_geometria,extent,1,peggiore (bottom),44,0.427546
concavita_e_geometria,extent,2,peggiore (bottom),115,0.449762
concavita_e_geometria,extent,3,peggiore (bottom),97,0.452810
concavita_e_geometria,extent,4,peggiore (bottom),3,0.454657
concavita_e_geometria,extent,5,peggiore (bottom),51,0.481722
concavita_e_geometria,aspect_ratio,1,migliore (top),392,3.263158
concavita_e_geometria,aspect_ratio,2,migliore (top),45,3.052632
concavita_e_geometria,aspect_ratio,3,migliore (top),32,3.047619
concavita_e_geometria,aspect_ratio,4,migliore (top),171,2.772727
concavita_e_geometria,aspect_ratio,5,migliore (top),143,2.636364
concavita_e_geometria,aspect_ratio,1,peggiore (bottom),11,1.000000
concavita_e_geometria,aspect_ratio,2,peggiore (bottom),16,1.000000
concavita_e_geometria,aspect_ratio,3,peggiore (bottom),39,1.000000
concavita_e_geometria,aspect_ratio,4,peggiore (bottom),50,1.000000
concavita_e_geometria,aspect_ratio,5,peggiore (bottom),75,1.000000
concavita_e_geometria,eccentricity,1,migliore (top),392,0.958889
concavita_e_geometria,eccentricity,2,migliore (top),366,0.950050
concavita_e_geometria,eccentricity,3,migliore (top),32,0.948832
concavita_e_geometria,eccentricity,4,migliore (top),45,0.948818
concavita_e_geometria,eccentricity,5,migliore (top),251,0.947736
concavita_e_geometria,eccentricity,1,peggiore (bottom),50,0.111090
concavita_e_geometria,eccentricity,2,peggiore (bottom),225,0.132444
concavita_e_geometria,eccentricity,3,peggiore (bottom),197,0.142770
concavita_e_geometria,eccentricity,4,peggiore (bottom),237,0.146057
concavita_e_geometria,eccentricity,5,peggiore (bottom),269,0.152170
concavita_e_geometria,num_convexity_defects,1,migliore (top),116,29.000000
concavita_e_geometria,num_convexity_defects,2,migliore (top),35,28.000000
concavita_e_geometria,num_convexity_defects,3,migliore (top),269,27.000000
concavita_e_geometria,num_convexity_defects,4,migliore (top),357,26.000000
concavita_e_geometria,num_convexity_defects,5,migliore (top),342,26.000000
concavita_e_geometria,num_convexity_defects,1,peggiore (bottom),142,8.000000
concavita_e_geometria,num_convexity_defects,2,peggiore (bottom),65,9.000000
concavita_e_geometria,num_convexity_defects,3,peggiore (bottom),85,9.000000
concavita_e_geometria,num_convexity_defects,4,peggiore (bottom),224,9.000000
concavita_e_geometria,num_convexity_defects,5,peggiore (bottom),237,9.000000
concavita_e_geometria,max_defect_depth_norm,1,migliore (top),72,0.069312
concavita_e_geometria,max_defect_depth_norm,2,migliore (top),383,0.042875
concavita_e_geometria,max_defect_depth_norm,3,migliore (top),57,0.040926
concavita_e_geometria,max_defect_depth_norm,4,migliore (top),372,0.039619
concavita_e_geometria,max_defect_depth_norm,5,migliore (top),338,0.036857
concavita_e_geometria,max_defect_depth_norm,1,peggiore (bottom),18,0.001998
concavita_e_geometria,max_defect_depth_norm,2,peggiore (bottom),55,0.001998
concavita_e_geometria,max_defect_depth_norm,3,peggiore (bottom),94,0.001998
concavita_e_geometria,max_defect_depth_norm,4,peggiore (bottom),128,0.001998
concavita_e_geometria,max_defect_depth_norm,5,peggiore (bottom),142,0.001998
distanza_dal_centro,dist_from_center_norm,1,migliore (top),388,0.484285
distanza_dal_centro,dist_from_center_norm,2,migliore (top),266,0.475373
distanza_dal_centro,dist_from_center_norm,3,migliore (top),316,0.474552
distanza_dal_centro,dist_from_center_norm,4,migliore (top),261,0.473566
distanza_dal_centro,dist_from_center_norm,5,migliore (top),364,0.464031
distanza_dal_centro,dist_from_center_norm,1,peggiore (bottom),135,0.011508
distanza_dal_centro,dist_from_center_norm,2,peggiore (bottom),327,0.015387
distanza_dal_centro,dist_from_center_norm,3,peggiore (bottom),129,0.017493
distanza_dal_centro,dist_from_center_norm,4,peggiore (bottom),99,0.024176
distanza_dal_centro,dist_from_center_norm,5,peggiore (bottom),56,0.029760
gradiente_medio_tumore,grad_mean,1,migliore (top),109,0.913521
gradiente_medio_tumore,grad_mean,2,migliore (top),291,0.912404
gradiente_medio_tumore,grad_mean,3,migliore (top),28,0.899367
gradiente_medio_tumore,grad_mean,4,migliore (top),5,0.872792
gradiente_medio_tumore,grad_mean,5,migliore (top),31,0.858731
gradiente_medio_tumore,grad_mean,1,peggiore (bottom),92,0.067086
gradiente_medio_tumore,grad_mean,2,peggiore (bottom),381,0.080739
